"Tipo","Archivo","Linea","Exception","CodigoErr"
"ERROR","AOCR_20260206.log","2026-02-06 15:28:41.403 | ERROR | CID:6072f0245526 | USR:USU_ADMIN | OrdenRecaudacion/Index | ERR:BAD_REQUEST | No se encuentra la vista 'Index' ni su vista maestra o no hay un motor de búsqueda que admita las ubicaciones de búsqueda. Se buscó en las siguientes ubicaciones: ","","BAD_REQUEST"
"ERROR","AOCR_20260206.log","2026-02-06 15:29:43.806 | ERROR | CID:b48194f8c54a | USR:USU_ADMIN | OrdenRecaudacion/Index | ERR:BAD_REQUEST | No se encuentra la vista 'Index' ni su vista maestra o no hay un motor de búsqueda que admita las ubicaciones de búsqueda. Se buscó en las siguientes ubicaciones: ","","BAD_REQUEST"
"ERROR","AOCR_20260206.log","2026-02-06 15:45:11.166 | ERROR | CID:b26031b3a9d0 | USR:USU_ADMIN | OrdenRecaudacion/Index | ERR:INTERNAL_ERROR | Se esperaba ""{"" pero se encontró ""bool"". Las instrucciones de bloque deben ir entre ""{"" y ""}"". No se pueden usar instrucciones de flujo de control simples en las páginas CSHTML. Por ejemplo, no se permite lo siguiente:","","INTERNAL_ERROR"
"ERROR","AOCR_20260207.log","2026-02-07 17:16:51.116 | ERROR | CID:37c01897792a46cfb054dacb907116be | USR:USU_ADMIN | Account/Login | ERR:INTERNAL_ERROR | El token antifalsificación proporcionado se diseñó para el usuario """" pero el usuario actual es ""USU_ADMIN"".","Exception: HttpAntiForgeryException","INTERNAL_ERROR"
"ERROR","AOCR_20260207.log","2026-02-07 17:16:55.344 | ERROR | CID:8007de11052b45609dce1123e943c0a4 | USR:USU_ADMIN | Account/Login | ERR:INTERNAL_ERROR | c:\AOCR\AOCR\AOCR05-01-2026\AOCR1\AOCR\CapaPresentacion\Views\Shared\Error.cshtml(23): error CS1525: El término de la expresión '.' no es válido","Exception: HttpCompileException","INTERNAL_ERROR"
"ERROR","AOCR_20260207.log","2026-02-07 17:17:28.150 | ERROR | CID:4583269fa10b45b0953c67447a8e508f | USR:USU_ADMIN | Account/Login | ERR:INTERNAL_ERROR | El token antifalsificación proporcionado se diseñó para el usuario """" pero el usuario actual es ""USU_ADMIN"".","Exception: HttpAntiForgeryException","INTERNAL_ERROR"
"ERROR","AOCR_20260207.log","2026-02-07 17:17:29.000 | ERROR | CID:c08f3002ebcf46a0b6ccc9aceae4fad3 | USR:USU_ADMIN | Account/Login | ERR:INTERNAL_ERROR | c:\AOCR\AOCR\AOCR05-01-2026\AOCR1\AOCR\CapaPresentacion\Views\Shared\Error.cshtml(23): error CS1525: El término de la expresión '.' no es válido","Exception: HttpCompileException","INTERNAL_ERROR"
"ERROR","AOCR_20260207.log","2026-02-07 17:20:08.710 | ERROR | CID:c25972a8430b46b59ee31d17264b62b3 | USR:USU_ADMIN | Account/Login | ERR:INTERNAL_ERROR | El token antifalsificación proporcionado se diseñó para el usuario """" pero el usuario actual es ""USU_ADMIN"".","Exception: HttpAntiForgeryException","INTERNAL_ERROR"
"ERROR","AOCR_20260209.log","2026-02-09 09:00:28.086 | ERROR | CID:60a28b586fa0 | USR:USU_ADMIN | Inspeccion/Index | ERR:BAD_REQUEST | El elemento de modelo pasado al diccionario es de tipo 'System.Collections.Generic.List`1[CapaModelo.Inspeccion]', pero este diccionario requiere un elemento de modelo de tipo 'CapaModelo.Inspeccion'.","Exception: InvalidOperationException","BAD_REQUEST"
"ERROR","AOCR_20260209.log","2026-02-09 09:01:02.727 | ERROR | CID:4049f7ac5f81 | USR:USU_ADMIN | Inspeccion/Index | ERR:BAD_REQUEST | El elemento de modelo pasado al diccionario es de tipo 'System.Collections.Generic.List`1[CapaModelo.Inspeccion]', pero este diccionario requiere un elemento de modelo de tipo 'CapaModelo.Inspeccion'.","Exception: InvalidOperationException","BAD_REQUEST"
"ERROR","AOCR_20260209.log","2026-02-09 09:11:34.751 | ERROR | CID:77cfdb6031f3 | USR:USU_ADMIN | Inspeccion/Crear | ERR:BAD_REQUEST | El diccionario de parámetros contiene una entrada NULL para el parámetro 'codigoSolicitud' del tipo que no acepta valores NULL 'System.Int32' del método 'System.Web.Mvc.ActionResult Crear(Int32)' en 'CapaPresentacion.Controllers.InspeccionController'. Un parámetro opcional debe ser un tipo de referencia, un tipo que acepte valores NULL o debe declararse como parámetro opcional.","","BAD_REQUEST"
"ERROR","AOCR_20260209.log","2026-02-09 09:11:49.038 | ERROR | CID:df565f5bb37e | USR:USU_ADMIN | Inspeccion/Crear | ERR:BAD_REQUEST | El diccionario de parámetros contiene una entrada NULL para el parámetro 'codigoSolicitud' del tipo que no acepta valores NULL 'System.Int32' del método 'System.Web.Mvc.ActionResult Crear(Int32)' en 'CapaPresentacion.Controllers.InspeccionController'. Un parámetro opcional debe ser un tipo de referencia, un tipo que acepte valores NULL o debe declararse como parámetro opcional.","","BAD_REQUEST"
"ERROR","AOCR_20260209.log","2026-02-09 09:11:56.702 | ERROR | CID:f86ded8d0de1 | USR:USU_ADMIN | Inspeccion/Crear | ERR:BAD_REQUEST | El diccionario de parámetros contiene una entrada NULL para el parámetro 'codigoSolicitud' del tipo que no acepta valores NULL 'System.Int32' del método 'System.Web.Mvc.ActionResult Crear(Int32)' en 'CapaPresentacion.Controllers.InspeccionController'. Un parámetro opcional debe ser un tipo de referencia, un tipo que acepte valores NULL o debe declararse como parámetro opcional.","","BAD_REQUEST"
"ERROR","AOCR_20260210.log","2026-02-10 10:04:10.614 | ERROR | CID:45237cb044b3 | USR:1713091955 | OrdenRecaudacion/Detalles | ERR:INTERNAL_ERROR | c:\AOCR\AOCR\AOCR05-01-2026\AOCR1\AOCR\CapaPresentacion\Views\OrdenRecaudacion\Detalles.cshtml(52): error CS0103: El nombre 'faltantes' no existe en el contexto actual","Exception: HttpCompileException","INTERNAL_ERROR"
"ERROR","AOCR_20260210.log","2026-02-10 10:04:48.349 | ERROR | CID:48d16e9b5342 | USR:1713091955 | OrdenRecaudacion/Detalles | ERR:INTERNAL_ERROR | c:\AOCR\AOCR\AOCR05-01-2026\AOCR1\AOCR\CapaPresentacion\Views\OrdenRecaudacion\Detalles.cshtml(52): error CS0103: El nombre 'faltantes' no existe en el contexto actual","Exception: HttpCompileException","INTERNAL_ERROR"
"ERROR","AOCR_20260210.log","2026-02-10 10:13:36.558 | ERROR | CID:bc08e01d7a94 | USR:1713091955 | OrdenRecaudacion/Detalles | ERR:INTERNAL_ERROR | c:\AOCR\AOCR\AOCR05-01-2026\AOCR1\AOCR\CapaPresentacion\Views\OrdenRecaudacion\Detalles.cshtml(31): error CS0103: El nombre 'faltantes' no existe en el contexto actual","Exception: HttpCompileException","INTERNAL_ERROR"
"ERROR","AOCR_20260210.log","2026-02-10 10:13:43.718 | ERROR | CID:44387e2c9be9 | USR:1713091955 | OrdenRecaudacion/Detalles | ERR:INTERNAL_ERROR | c:\AOCR\AOCR\AOCR05-01-2026\AOCR1\AOCR\CapaPresentacion\Views\OrdenRecaudacion\Detalles.cshtml(31): error CS0103: El nombre 'faltantes' no existe en el contexto actual","Exception: HttpCompileException","INTERNAL_ERROR"
"ERROR","AOCR_20260210.log","2026-02-10 10:19:10.919 | ERROR | CID:0e6e088b66e6 | USR:1713091955 | OrdenRecaudacion/Detalles | ERR:INTERNAL_ERROR | c:\AOCR\AOCR\AOCR05-01-2026\AOCR1\AOCR\CapaPresentacion\Views\OrdenRecaudacion\Detalles.cshtml(64): error CS0103: El nombre 'ordenCompleta' no existe en el contexto actual","Exception: HttpCompileException","INTERNAL_ERROR"
"ERROR","AOCR_20260210.log","2026-02-10 10:21:06.603 | ERROR | CID:acc211f574f8 | USR:1713091955 | OrdenRecaudacion/Detalles | ERR:INTERNAL_ERROR | c:\AOCR\AOCR\AOCR05-01-2026\AOCR1\AOCR\CapaPresentacion\Views\OrdenRecaudacion\Detalles.cshtml(64): error CS0103: El nombre 'ordenCompleta' no existe en el contexto actual","Exception: HttpCompileException","INTERNAL_ERROR"
"ERROR","AOCR_20260211.log","2026-02-11 15:53:26.520 | ERROR | CID:6fffeb4d0cff4676afd66769994eba9e | Usuario/ValidarRUC | ERR:INTERNAL_ERROR | El campo de formulario antifalsificación ""__RequestVerificationToken"" no está presente.","Exception: HttpAntiForgeryException","INTERNAL_ERROR"
"ERROR","AOCR_20260211.log","2026-02-11 15:53:55.621 | ERROR | CID:834b2efbae764a549173de2fbfbe6521 | Usuario/ValidarCorreo | ERR:INTERNAL_ERROR | El campo de formulario antifalsificación ""__RequestVerificationToken"" no está presente.","Exception: HttpAntiForgeryException","INTERNAL_ERROR"
"ERROR","AOCR_20260211.log","2026-02-11 15:54:39.447 | ERROR | CID:bef628f1ece349a7b3e134960febf7bb | Usuario/ValidarCorreo | ERR:INTERNAL_ERROR | El campo de formulario antifalsificación ""__RequestVerificationToken"" no está presente.","Exception: HttpAntiForgeryException","INTERNAL_ERROR"
"ERROR","AOCR_20260212.log","2026-02-12 08:31:24.528 | ERROR | CID:54c981210ee743c0807fdea4dde38763 | USR:1713091955 | Account/Login | ERR:INTERNAL_ERROR | El token antifalsificación proporcionado se diseñó para el usuario """" pero el usuario actual es ""1713091955"".","Exception: HttpAntiForgeryException","INTERNAL_ERROR"
